W0419 15:24:22.997000 355598 torch/distributed/run.py:851] 
W0419 15:24:22.997000 355598 torch/distributed/run.py:851] *****************************************
W0419 15:24:22.997000 355598 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0419 15:24:22.997000 355598 torch/distributed/run.py:851] *****************************************
Hyperparameters:
  adam_eps: 1e-08
  adam_wd: 0.02
  beta1: 0.9
  beta2: 0.95
  clip_mult_early: 1.0
  clip_mult_late: 1.0
  clip_mult_loop: 1.0
  clip_mult_mid: 1.0
  compress_ans: True
  compress_brotli: False
  compress_lzma: False
  data_dir: ./data/
  datasets_dir: ./data/datasets/fineweb10B_sp8192
  distributed: True
  effective_train_seq_len: <property object at 0x149ff41c5b70>
  ema_decay: 0.9965
  embed_bits: 8
  embed_clip_sigmas: 20.0
  embed_lr: 0.6
  embed_wd: 0.085
  embedding_dim: 512
  enable_looping_at: 0.35
  eval_seq_len: 2048
  eval_stride: 64
  force_dense_eval: False
  fused_mlp: True
  fused_rope: True
  gated_attention: True
  gptq_calibration_batches: 128
  gptq_reserve_seconds: 12.0
  grad_accum_steps: 2
  grad_clip_norm: 0.3
  head_lr: 0.008
  hessian_clip_lambda: 0.3
  is_main_process: True
  iterations: 20000
  ln_scale: True
  local_rank: 0
  logfile: logs/pg12_slotttt_steps8_lr3e3.txt
  logit_softcap: 20.0
  loop_embeddings: False
  loop_end: 5
  loop_layer_bits: 0
  loop_layer_clip_sigmas: 0.0
  loop_start: 3
  matrix_bits: 6
  matrix_clip_sigmas: 14.0
  matrix_lr: 0.022
  max_wallclock_seconds: 3600.0
  min_lr: 0.0
  mixed_seq_gpu_frac: 0.375
  mixed_seq_len: 0
  mlp_mult: 4.35
  model_dim: 512
  model_path: final_model.pt
  moe_enabled: False
  moe_layers: 3,5,7,9
  moe_num_experts: 3
  moe_top_k: 2
  muon_backend_steps: 5
  muon_beta2: 0.95
  muon_momentum: 0.97
  muon_momentum_warmup_start: 0.92
  muon_momentum_warmup_steps: 1500
  muon_row_normalize: True
  muon_wd: 0.095
  num_heads: 8
  num_kv_heads: 4
  num_layers: 11
  num_loops: 2
  parallel_residual_start: 7
  qk_gain_init: 5.25
  quantized_model_path: final_model.int6.ptz
  rank: 0
  rope_base: 10000.0
  rope_dims: 32
  rope_force_base_seqlen: 0
  rope_train_seq_len: 2048
  run_id: pg12_slotttt_steps8_lr3e3
  run_sw_only: False
  run_ttt_only: True
  scalar_lr: 0.022
  seed: 1337
  skip_gates_enabled: True
  skip_training: True
  sliding_window_enabled: True
  slot_enabled: False
  slot_in_ttt: True
  slot_in_ttt_lr: 0.003
  slot_in_ttt_steps: 8
  slot_in_ttt_wd: 0.001
  slot_lr: 0.01
  slot_max_windows: 0
  slot_steps: 4
  slot_train_mode: context
  slot_wd: 0.01
  tie_embeddings: True
  tied_embed_init_std: 0.005
  tied_embed_lr: 0.03
  tokenizer_path: ./data/tokenizers/fineweb_8192_bpe.model
  train_batch_tokens: 786432
  train_files: ./data/datasets/fineweb10B_sp8192/fineweb_train_*.bin
  train_log_every: 500
  train_seq_len: 2048
  ttt_adapt_ema: 0.95
  ttt_adapt_max_scale: 2.0
  ttt_adapt_min_scale: 0.5
  ttt_adapt_power: 1.0
  ttt_adaptive_lr: False
  ttt_batch_size: 64
  ttt_beta1: 0.9
  ttt_beta2: 0.99
  ttt_chunk_size: 64
  ttt_enabled: True
  ttt_eval_seq_len: 2048
  ttt_fp_chunk_tokens: 32768
  ttt_fp_epochs: 3
  ttt_fp_lr: 0.001
  ttt_grad_clip: 1.0
  ttt_grad_steps: 1
  ttt_k_lora: True
  ttt_lora_lr: 0.0001
  ttt_lora_rank: 48
  ttt_max_docs: 0
  ttt_min_doc_len: 0
  ttt_mlp_lora: True
  ttt_nan_guard: True
  ttt_o_lora: True
  ttt_phase_sgd_batch: 8
  ttt_phase_sgd_epochs: 1
  ttt_phase_sgd_lr: 0.0005
  ttt_phase_sgd_momentum: 0.9
  ttt_phase_sgd_optimizer: sgd
  ttt_phase_sgd_seq_len: 1024
  ttt_phase_sgd_wd: 0.0
  ttt_phases: 2
  ttt_rope_base_seqlen: 0
  ttt_weight_decay: 0.2
  val_batch_tokens: 524288
  val_files: ./data/datasets/fineweb10B_sp8192/fineweb_val_*.bin
  val_loss_every: 4000
  varlen_attention: True
  vocab_size: 8192
  warmdown_frac: 0.85
  warmdown_wd_mult: 1.0
  warmup_steps: 20
  window_attn_layers: 
  window_attn_size: 0
  world_size: 4
  xsa_last_n: 11
train_shards: 80
val_tokens: 40540160
SKIP_TRAINING=1 — reusing existing final_model.int6.ptz
ttt_lora:rope_base inherited ROPE_FORCE_BASE_SEQLEN=98304
ttt_lora:warming up compile
ttt_lora:compile warmup done (82.5s)
ttt_lora:docs:50000 rank:48 lr:0.0001 chunk:64
ttt_lora:phased_sgd enabled phases=2 boundaries=[0, 391, 782] sgd_lr=0.0005 sgd_epochs=1 sgd_opt=sgd
